familyname	maxgap	sex
ERV3-16A3_I	0.017563591789369948	male
ERV3-16A3_LTR	0.03326828379109198	female
ERV3-16A3_LTR	0.01954522471892206	male
ERVL	0.14251793856139905	female
ERVL	0.2274808089894993	male
ERVL-B4	0.3764509946217025	female
ERVL-B4	0.6223096446334999	male
ERVL-E	0.02821370952236002	female
ERVL-E	0.043668087488140106	male
ERVL47	0.05554987031589986	female
ERVL47	0.050409663813320016	male
EuthAT-1	0.023331300424244972	female
EuthAT-1	0.03832693207649501	male
EuthAT-2	0.015126426248085967	female
EuthAT-2	0.016206745956778013	male
EuthAT-2B	0.04371265267677016	female
EuthAT-2B	0.05294637504754984	male
EuthAT-N1	0.1465002302982601	female
EuthAT-N1	0.0708267412594401	male
Eutr1	0.09638374027230201	female
Eutr1	0.05440543414450699	male
Eutr10	0.011547778717499999	female
Eutr10	0.014240691570332004	male
Eutr11	0.08557904095233004	female
Eutr11	0.25575240297225	male
Eutr12	0.010901117009829098	female
Eutr12	0.0037342562965121985	male
Eutr13	0.003240489695877001	female
Eutr13	0.002432725437230502	male
Eutr14	0.02395741797897699	female
Eutr14	0.06888882444352507	male
Eutr15	0.04580352518217101	female
Eutr15	0.03604593417292701	male
Eutr16	0.002168474025683	female
Eutr16	0.0050133736191458	male
Eutr17	0.020005404593652104	female
Eutr17	0.010600469627185	male
Eutr18	0.04558251183345008	female
Eutr18	0.21515615210292016	male
Eutr2	0.0015455186896469	female
Eutr2	0.0012034932635772	male
Eutr3	0.0034523640103572	female
Eutr3	0.0020577349079117	male
Eutr4	0.010800634949841015	female
Eutr4	0.022059888502916958	male
Eutr5	0.017464400556604004	female
Eutr5	0.0149988242628357	male
Eutr6	0.03620973872469302	female
Eutr6	0.01633987984676899	male
Eutr7	0.08724835723471003	female
Eutr7	0.06617265925106008	male
Eutr8	0.27782703192358005	female
Eutr8	0.15190599763858015	male
EUTREP1	0.10354468941083006	female
EUTREP1	0.05134651997057027	male
EUTREP10	0.06039176217230802	female
EUTREP10	0.021519656095386086	male
EUTREP11	0.06090351367618896	female
EUTREP11	0.04097358977272403	male
EUTREP12	0.05473488283507699	female
EUTREP12	0.048256208373100185	male
EUTREP13	0.10918268670340003	female
EUTREP13	0.15023284928462988	male
