study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2581063	ERX1415721	ERR1344149	62314094	9409428194	HGDP01220
PRJEB6463	SAMEA2581072	ERX1415722	ERR1344150	119841706	18096097606	HGDP01209
PRJEB6463	SAMEA2581088	ERX1415723	ERR1344151	63483192	9585961992	HGDP00750
PRJEB6463	SAMEA2581098	ERX1415724	ERR1344152	59952074	9052763174	HGDP00760
PRJEB6463	SAMEA2581107	ERX1415725	ERR1344153	83891856	12667670256	HGDP00769
PRJEB6463	SAMEA2581119	ERX1415726	ERR1344154	57710858	8714339558	HGDP00950
PRJEB6463	SAMEA2581129	ERX1415727	ERR1344155	59191012	8937842812	HGDP00960
PRJEB6463	SAMEA2581137	ERX1415728	ERR1344156	51086662	7714085962	HGDP00968
PRJEB6463	SAMEA2581153	ERX1415729	ERR1344157	57251906	8645037806	HGDP00104
PRJEB6463	SAMEA2581175	ERX1415730	ERR1344158	63602342	9603953642	HGDP00351
PRJEB6463	SAMEA2581033	ERX1415731	ERR1344159	77150498	11649725198	HGDP01248
PRJEB6463	SAMEA2581042	ERX1415732	ERR1344160	70399368	10630304568	HGDP01239
PRJEB6463	SAMEA2581062	ERX1415733	ERR1344161	70558008	10654259208	HGDP01219
PRJEB6463	SAMEA2581071	ERX1415734	ERR1344162	70841328	10697040528	HGDP01208
PRJEB6463	SAMEA2581086	ERX1415735	ERR1344163	68330832	10317955632	HGDP00748
PRJEB6463	SAMEA2581097	ERX1415736	ERR1344164	80549956	12163043356	HGDP00759
PRJEB6463	SAMEA2581105	ERX1415737	ERR1344165	68140362	10289194662	HGDP00767
PRJEB6463	SAMEA2581118	ERX1415738	ERR1344166	67032778	10121949478	HGDP00949
PRJEB6463	SAMEA2581128	ERX1415739	ERR1344167	65111942	9831903242	HGDP00959
PRJEB6463	SAMEA2581136	ERX1415740	ERR1344168	68616934	10361157034	HGDP00967
PRJEB6463	SAMEA2581151	ERX1415741	ERR1344169	70843346	10697345246	HGDP00102
PRJEB6463	SAMEA2581164	ERX1415742	ERR1344170	73510094	11100024194	HGDP00120
PRJEB6463	SAMEA2581033	ERX1415743	ERR1344171	78451510	11846178010	HGDP01248
PRJEB6463	SAMEA2581042	ERX1415744	ERR1344172	72170018	10897672718	HGDP01239
PRJEB6463	SAMEA2581062	ERX1415745	ERR1344173	72696572	10977182372	HGDP01219
PRJEB6463	SAMEA2581071	ERX1415746	ERR1344174	71528504	10800804104	HGDP01208
PRJEB6463	SAMEA2581086	ERX1415747	ERR1344175	70165148	10594937348	HGDP00748
PRJEB6463	SAMEA2581097	ERX1415748	ERR1344176	83219800	12566189800	HGDP00759
PRJEB6463	SAMEA2581105	ERX1415749	ERR1344177	68775952	10385168752	HGDP00767
PRJEB6463	SAMEA2581118	ERX1415750	ERR1344178	68804246	10389441146	HGDP00949
PRJEB6463	SAMEA2581128	ERX1415751	ERR1344179	65526348	9894478548	HGDP00959
PRJEB6463	SAMEA2581136	ERX1415752	ERR1344180	70592294	10659436394	HGDP00967
PRJEB6463	SAMEA2581151	ERX1415753	ERR1344181	72154522	10895332822	HGDP00102
PRJEB6463	SAMEA2581164	ERX1415754	ERR1344182	73182344	11050533944	HGDP00120
PRJEB6463	SAMEA2581033	ERX1415755	ERR1344183	76652312	11574499112	HGDP01248
PRJEB6463	SAMEA2581042	ERX1415756	ERR1344184	71097958	10735791658	HGDP01239
PRJEB6463	SAMEA2581062	ERX1415757	ERR1344185	71283240	10763769240	HGDP01219
PRJEB6463	SAMEA2581071	ERX1415758	ERR1344186	70405914	10631293014	HGDP01208
PRJEB6463	SAMEA2581086	ERX1415759	ERR1344187	68518704	10346324304	HGDP00748
PRJEB6463	SAMEA2581097	ERX1415760	ERR1344188	81621374	12324827474	HGDP00759
PRJEB6463	SAMEA2581105	ERX1415761	ERR1344189	67333898	10167418598	HGDP00767
PRJEB6463	SAMEA2581118	ERX1415762	ERR1344190	67514336	10194664736	HGDP00949
PRJEB6463	SAMEA2581128	ERX1415763	ERR1344191	64498836	9739324236	HGDP00959
PRJEB6463	SAMEA2581136	ERX1415764	ERR1344192	69428774	10483744874	HGDP00967
PRJEB6463	SAMEA2581151	ERX1415765	ERR1344193	70826340	10694777340	HGDP00102
PRJEB6463	SAMEA2581164	ERX1415766	ERR1344194	72116136	10889536536	HGDP00120
PRJEB6463	SAMEA2581033	ERX1415767	ERR1344195	76409270	11537799770	HGDP01248
PRJEB6463	SAMEA2581042	ERX1415768	ERR1344196	71444626	10788138526	HGDP01239
PRJEB6463	SAMEA2581062	ERX1415769	ERR1344197	71241992	10757540792	HGDP01219
PRJEB6463	SAMEA2581071	ERX1415770	ERR1344198	70825644	10694672244	HGDP01208
PRJEB6463	SAMEA2581086	ERX1415771	ERR1344199	68488536	10341768936	HGDP00748
PRJEB6463	SAMEA2581097	ERX1415772	ERR1344200	81464048	12301071248	HGDP00759
PRJEB6463	SAMEA2581105	ERX1415773	ERR1344201	67694640	10221890640	HGDP00767
PRJEB6463	SAMEA2581118	ERX1415774	ERR1344202	67427388	10181535588	HGDP00949
PRJEB6463	SAMEA2581128	ERX1415775	ERR1344203	64878632	9796673432	HGDP00959
PRJEB6463	SAMEA2581136	ERX1415776	ERR1344204	69268498	10459543198	HGDP00967
PRJEB6463	SAMEA2581151	ERX1415777	ERR1344205	70909152	10707281952	HGDP00102
PRJEB6463	SAMEA2581164	ERX1415778	ERR1344206	72191094	10900855194	HGDP00120
PRJEB6463	SAMEA2581033	ERX1415779	ERR1344207	67375686	10173728586	HGDP01248
PRJEB6463	SAMEA2581042	ERX1415780	ERR1344208	65385004	9873135604	HGDP01239
PRJEB6463	SAMEA2581062	ERX1415781	ERR1344209	64620214	9757652314	HGDP01219
PRJEB6463	SAMEA2581071	ERX1415782	ERR1344210	63655408	9611966608	HGDP01208
PRJEB6463	SAMEA2581086	ERX1415783	ERR1344211	61287304	9254382904	HGDP00748
PRJEB6463	SAMEA2581097	ERX1415784	ERR1344212	74558700	11258363700	HGDP00759
PRJEB6463	SAMEA2581105	ERX1415785	ERR1344213	60901762	9196166062	HGDP00767
PRJEB6463	SAMEA2581118	ERX1415786	ERR1344214	61469272	9281860072	HGDP00949
PRJEB6463	SAMEA2581128	ERX1415787	ERR1344215	58295220	8802578220	HGDP00959
PRJEB6463	SAMEA2581136	ERX1415788	ERR1344216	63455462	9581774762	HGDP00967
PRJEB6463	SAMEA2581151	ERX1415789	ERR1344217	64426004	9728326604	HGDP00102
PRJEB6463	SAMEA2581164	ERX1415790	ERR1344218	65700250	9920737750	HGDP00120
PRJEB6463	SAMEA2581037	ERX1415791	ERR1344219	70373374	10626379474	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415792	ERR1344220	70366812	10625388612	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415793	ERR1344221	62737674	9473388774	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415794	ERR1344222	63131394	9532840494	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415795	ERR1344223	69346644	10471343244	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415796	ERR1344224	68328742	10317640042	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415797	ERR1344225	62119176	9379995576	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415798	ERR1344226	63021722	9516280022	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415799	ERR1344227	66081826	9978355726	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415800	ERR1344228	59674006	9010774906	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415801	ERR1344229	68833084	10393795684	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415802	ERR1344230	67603572	10208139372	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415803	ERR1344231	74657794	11273326894	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415804	ERR1344232	74686022	11277589322	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415805	ERR1344233	67899968	10252895168	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415806	ERR1344234	66796330	10086245830	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415807	ERR1344235	71007682	10722159982	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415808	ERR1344236	71572792	10807491592	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415809	ERR1344237	65887806	9949058706	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415810	ERR1344238	67465972	10187361772	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415811	ERR1344239	70981032	10718135832	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415812	ERR1344240	63429374	9577835474	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415813	ERR1344241	73195502	11052520802	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415814	ERR1344242	71206220	10752139220	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415815	ERR1344243	72316340	10919767340	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415816	ERR1344244	72435126	10937704026	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415817	ERR1344245	65954890	9959188390	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415818	ERR1344246	65045362	9821849662	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415819	ERR1344247	70713438	10677729138	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415820	ERR1344248	70107330	10586206830	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415821	ERR1344249	64172438	9690038138	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415822	ERR1344250	65528544	9894810144	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415823	ERR1344251	68967124	10414035724	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415824	ERR1344252	61966554	9356949654	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415825	ERR1344253	71048814	10728370914	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415826	ERR1344254	69296262	10463735562	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415827	ERR1344255	73892836	11157818236	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415828	ERR1344256	75322716	11373730116	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415829	ERR1344257	70276490	10611749990	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415830	ERR1344258	65659774	9914625874	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415831	ERR1344259	71111444	10737828044	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415832	ERR1344260	70537734	10651197834	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415833	ERR1344261	65535942	9895927242	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415834	ERR1344262	68422806	10331843706	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415835	ERR1344263	71698130	10826417630	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415836	ERR1344264	63106880	9529138880	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415837	ERR1344265	73385894	11081269994	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415838	ERR1344266	70878622	10702671922	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415839	ERR1344267	73547976	11105744376	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415840	ERR1344268	73956074	11167367174	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415841	ERR1344269	67824022	10241427322	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415842	ERR1344270	65796004	9935196604	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415843	ERR1344271	73292656	11067191056	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415844	ERR1344272	70604204	10661234804	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415845	ERR1344273	65133438	9835149138	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415846	ERR1344274	66904882	10102637182	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415847	ERR1344275	70174558	10596358258	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415848	ERR1344276	62757370	9476362870	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415849	ERR1344277	72573680	10958625680	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415850	ERR1344278	70540092	10651553892	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415851	ERR1344279	72375276	10928666676	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415852	ERR1344280	72705412	10978517212	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415853	ERR1344281	66766224	10081699824	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415854	ERR1344282	64470210	9735001710	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415855	ERR1344283	70066788	10580084988	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415856	ERR1344284	69174190	10445302690	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415857	ERR1344285	63950514	9656527614	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415858	ERR1344286	65785244	9933571844	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415859	ERR1344287	68919896	10406904296	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415860	ERR1344288	61468978	9281815678	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415861	ERR1344289	71329102	10770694402	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415862	ERR1344290	69313644	10466360244	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415863	ERR1344291	72116382	10889573682	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415864	ERR1344292	72313326	10919312226	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415865	ERR1344293	66440720	10032548720	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415866	ERR1344294	64388768	9722703968	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415867	ERR1344295	70338588	10621126788	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415868	ERR1344296	69330368	10468885568	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415869	ERR1344297	63992812	9662914612	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415870	ERR1344298	65225696	9849080096	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415871	ERR1344299	68475308	10339771508	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415872	ERR1344300	61347758	9263511458	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415873	ERR1344301	71128804	10740449404	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415874	ERR1344302	69348900	10471683900	HGDP00364
PRJEB6463	SAMEA2581037	ERX1415875	ERR1344303	74684710	11277391210	HGDP01233
PRJEB6463	SAMEA2581052	ERX1415876	ERR1344304	74349374	11226755474	HGDP01229
PRJEB6463	SAMEA2581065	ERX1415877	ERR1344305	68045762	10274910062	HGDP01222
PRJEB6463	SAMEA2581076	ERX1415878	ERR1344306	66566792	10051585592	HGDP00712
PRJEB6463	SAMEA2581092	ERX1415879	ERR1344307	69412758	10481326458	HGDP00754
PRJEB6463	SAMEA2581100	ERX1415880	ERR1344308	71387264	10779476864	HGDP00762
PRJEB6463	SAMEA2581109	ERX1415881	ERR1344309	65831200	9940511200	HGDP00772
PRJEB6463	SAMEA2581122	ERX1415882	ERR1344310	67068400	10127328400	HGDP00953
PRJEB6463	SAMEA2581131	ERX1415883	ERR1344311	70861436	10700076836	HGDP00962
PRJEB6463	SAMEA2581145	ERX1415884	ERR1344312	63192234	9542027334	HGDP01303
PRJEB6463	SAMEA2581156	ERX1415885	ERR1344313	73404690	11084108190	HGDP00108
PRJEB6463	SAMEA2581178	ERX1415886	ERR1344314	71373814	10777445914	HGDP00364
PRJEB6463	SAMEA2581041	ERX1415887	ERR1344315	64527556	9743660956	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415888	ERR1344316	62970462	9508539762	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415889	ERR1344317	62308470	9408578970	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415890	ERR1344318	58190712	8786797512	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415891	ERR1344319	59958836	9053784236	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415892	ERR1344320	63546314	9595493414	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415893	ERR1344321	73688844	11127015444	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415894	ERR1344322	95775410	14462086910	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415895	ERR1344323	69961644	10564208244	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415896	ERR1344324	64685282	9767477582	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415897	ERR1344325	62236106	9397652006	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415898	ERR1344326	62131850	9381909350	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415899	ERR1344327	65402086	9875714986	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415900	ERR1344328	64651960	9762445960	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415901	ERR1344329	63542938	9594983638	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415902	ERR1344330	59744548	9021426748	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415903	ERR1344331	61774952	9328017752	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415904	ERR1344332	64351722	9717110022	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415905	ERR1344333	76591940	11565382940	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415906	ERR1344334	96726686	14605729586	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415907	ERR1344335	71754312	10834901112	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415908	ERR1344336	65443462	9881962762	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415909	ERR1344337	63242632	9549637432	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415910	ERR1344338	63729534	9623159634	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415911	ERR1344339	68970906	10414606806	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415912	ERR1344340	66573088	10052536288	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415913	ERR1344341	66363100	10020828100	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415914	ERR1344342	61774382	9327931682	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415915	ERR1344343	62695718	9467053418	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415916	ERR1344344	67632300	10212477300	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415917	ERR1344345	77585368	11715390568	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415918	ERR1344346	103279720	15595237720	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415919	ERR1344347	72810268	10994350468	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415920	ERR1344348	69466604	10489457204	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415921	ERR1344349	66292428	10010156628	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415922	ERR1344350	65920172	9953945972	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415923	ERR1344351	68164632	10292859432	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415924	ERR1344352	65937184	9956514784	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415925	ERR1344353	65657692	9914311492	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415926	ERR1344354	61101510	9226328010	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415927	ERR1344355	62370222	9417903522	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415928	ERR1344356	67325244	10166111844	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415929	ERR1344357	76692414	11580554514	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415930	ERR1344358	101810836	15373436236	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415931	ERR1344359	72410366	10933965266	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415932	ERR1344360	68865292	10398659092	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415933	ERR1344361	65630180	9910157180	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415934	ERR1344362	65091970	9828887470	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415935	ERR1344363	68042400	10274402400	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415936	ERR1344364	66769546	10082201446	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415937	ERR1344365	65898624	9950692224	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415938	ERR1344366	61979410	9358890910	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415939	ERR1344367	63734564	9623919164	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415940	ERR1344368	66997298	10116591998	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415941	ERR1344369	78656186	11877084086	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415942	ERR1344370	100653778	15198720478	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415943	ERR1344371	73902840	11159328840	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415944	ERR1344372	68256818	10306779518	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415945	ERR1344373	65727764	9924892364	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415946	ERR1344374	65727496	9924851896	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415947	ERR1344375	69567576	10504703976	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415948	ERR1344376	67906744	10253918344	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415949	ERR1344377	67297042	10161853342	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415950	ERR1344378	63406234	9574341334	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415951	ERR1344379	64786666	9782786566	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415952	ERR1344380	67472490	10188345990	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415953	ERR1344381	80035534	12085365634	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415954	ERR1344382	102000392	15402059192	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415955	ERR1344383	74264464	11213934064	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415956	ERR1344384	69030896	10423665296	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415957	ERR1344385	66675984	10068073584	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415958	ERR1344386	66862216	10096194616	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415959	ERR1344387	67670402	10218230702	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415960	ERR1344388	65841304	9942036904	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415961	ERR1344389	65331800	9865101800	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415962	ERR1344390	61348290	9263591790	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415963	ERR1344391	62785380	9480592380	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415964	ERR1344392	66052938	9973993638	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415965	ERR1344393	77553522	11710581822	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415966	ERR1344394	99528136	15028748536	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415967	ERR1344395	72977150	11019549650	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415968	ERR1344396	67295946	10161687846	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415969	ERR1344397	64994396	9814153796	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415970	ERR1344398	64964666	9809664566	HGDP00382
PRJEB6463	SAMEA2581041	ERX1415971	ERR1344399	65960952	9960103752	HGDP01238
PRJEB6463	SAMEA2581061	ERX1415972	ERR1344400	64237744	9699899344	HGDP01218
PRJEB6463	SAMEA2581070	ERX1415973	ERR1344401	63767192	9628845992	HGDP01207
PRJEB6463	SAMEA2581085	ERX1415974	ERR1344402	59492800	8983412800	HGDP00747
PRJEB6463	SAMEA2581096	ERX1415975	ERR1344403	60911496	9197635896	HGDP00758
PRJEB6463	SAMEA2581104	ERX1415976	ERR1344404	64146664	9686146264	HGDP00766
PRJEB6463	SAMEA2581115	ERX1415977	ERR1344405	75421806	11388692706	HGDP00946
PRJEB6463	SAMEA2581127	ERX1415978	ERR1344406	97002532	14647382332	HGDP00958
PRJEB6463	SAMEA2581135	ERX1415979	ERR1344407	70732922	10680671222	HGDP00966
PRJEB6463	SAMEA2581150	ERX1415980	ERR1344408	65657014	9914209114	HGDP00100
PRJEB6463	SAMEA2581163	ERX1415981	ERR1344409	63619278	9606510978	HGDP00119
PRJEB6463	SAMEA2581182	ERX1415982	ERR1344410	63341464	9564561064	HGDP00382
PRJEB6463	SAMEA2581038	ERX1415983	ERR1344411	79201790	11959470290	HGDP01234
PRJEB6463	SAMEA2581053	ERX1415984	ERR1344412	72184188	10899812388	HGDP01230
PRJEB6463	SAMEA2581067	ERX1415985	ERR1344413	76031670	11480782170	HGDP01204
PRJEB6463	SAMEA2581080	ERX1415986	ERR1344414	76051412	11483763212	HGDP00716
PRJEB6463	SAMEA2581093	ERX1415987	ERR1344415	72523332	10951023132	HGDP00755
PRJEB6463	SAMEA2581101	ERX1415988	ERR1344416	70963526	10715492426	HGDP00763
PRJEB6463	SAMEA2581111	ERX1415989	ERR1344417	77221660	11660470660	HGDP00790
PRJEB6463	SAMEA2581123	ERX1415990	ERR1344418	73424582	11087111882	HGDP00954
PRJEB6463	SAMEA2581132	ERX1415991	ERR1344419	71569174	10806945274	HGDP00963
PRJEB6463	SAMEA2581146	ERX1415992	ERR1344420	67890228	10251424428	HGDP01304
PRJEB6463	SAMEA2581157	ERX1415993	ERR1344421	66136152	9986558952	HGDP00109
PRJEB6463	SAMEA2581179	ERX1415994	ERR1344422	71017466	10723637366	HGDP00371
PRJEB6463	SAMEA2581038	ERX1415995	ERR1344423	76184542	11503865842	HGDP01234
PRJEB6463	SAMEA2581053	ERX1415996	ERR1344424	69205544	10450037144	HGDP01230
PRJEB6463	SAMEA2581067	ERX1415997	ERR1344425	73292042	11067098342	HGDP01204
PRJEB6463	SAMEA2581080	ERX1415998	ERR1344426	72867802	11003038102	HGDP00716
PRJEB6463	SAMEA2581093	ERX1415999	ERR1344427	69547196	10501626596	HGDP00755
PRJEB6463	SAMEA2581101	ERX1416000	ERR1344428	68144390	10289802890	HGDP00763
PRJEB6463	SAMEA2581111	ERX1416001	ERR1344429	73567986	11108765886	HGDP00790
PRJEB6463	SAMEA2581123	ERX1416002	ERR1344430	70398490	10630171990	HGDP00954
PRJEB6463	SAMEA2581132	ERX1416003	ERR1344431	68722862	10377152162	HGDP00963
PRJEB6463	SAMEA2581146	ERX1416004	ERR1344432	65633868	9910714068	HGDP01304
PRJEB6463	SAMEA2581157	ERX1416005	ERR1344433	64317824	9711991424	HGDP00109
PRJEB6463	SAMEA2581179	ERX1416006	ERR1344434	68102516	10283479916	HGDP00371
PRJEB6463	SAMEA2581038	ERX1416007	ERR1344435	78759100	11892624100	HGDP01234
PRJEB6463	SAMEA2581053	ERX1416008	ERR1344436	71607182	10812684482	HGDP01230
PRJEB6463	SAMEA2581067	ERX1416009	ERR1344437	75224876	11358956276	HGDP01204
PRJEB6463	SAMEA2581080	ERX1416010	ERR1344438	76466584	11546454184	HGDP00716
PRJEB6463	SAMEA2581093	ERX1416011	ERR1344439	72294536	10916474936	HGDP00755
PRJEB6463	SAMEA2581101	ERX1416012	ERR1344440	70648046	10667854946	HGDP00763
PRJEB6463	SAMEA2581111	ERX1416013	ERR1344441	78903782	11914471082	HGDP00790
PRJEB6463	SAMEA2581123	ERX1416014	ERR1344442	73416948	11085959148	HGDP00954
PRJEB6463	SAMEA2581132	ERX1416015	ERR1344443	71460412	10790522212	HGDP00963
PRJEB6463	SAMEA2581146	ERX1416016	ERR1344444	66983098	10114447798	HGDP01304
PRJEB6463	SAMEA2581157	ERX1416017	ERR1344445	64346348	9716298548	HGDP00109
