study_accession	sample_accession	experiment_accession	run_accession	read_count	base_count	sample_alias
PRJEB6463	SAMEA2580978	ERX1323965	ERR1252356	71103352	10736606152	HGDP01327
PRJEB6463	SAMEA2580989	ERX1323966	ERR1252357	68045296	10274839696	HGDP01180
PRJEB6463	SAMEA2581002	ERX1323967	ERR1252358	73612928	11115552128	HGDP01193
PRJEB6463	SAMEA2581016	ERX1323968	ERR1252359	81356306	12284802206	HGDP01103
PRJEB6463	SAMEA2581025	ERX1323969	ERR1252360	78116252	11795554052	HGDP01354
PRJEB6463	SAMEA2580907	ERX1323970	ERR1252361	78946256	11920884656	HGDP00774
PRJEB6463	SAMEA2580919	ERX1323971	ERR1252362	70331860	10620110860	HGDP00786
PRJEB6463	SAMEA2580927	ERX1323972	ERR1252363	75899098	11460763798	HGDP00819
PRJEB6463	SAMEA2580935	ERX1323973	ERR1252364	72042240	10878378240	HGDP00975
PRJEB6463	SAMEA2580943	ERX1323974	ERR1252365	68404070	10329014570	HGDP01289
PRJEB6463	SAMEA2580954	ERX1323975	ERR1252366	70527950	10649720450	HGDP01310
PRJEB6463	SAMEA2580966	ERX1323976	ERR1252367	74778330	11291527830	HGDP01322
PRJEB6463	SAMEA2580979	ERX1323977	ERR1252368	74895750	11309258250	HGDP01328
PRJEB6463	SAMEA2580990	ERX1323978	ERR1252369	64694836	9768920236	HGDP01181
PRJEB6463	SAMEA2581003	ERX1323979	ERR1252370	70747252	10682835052	HGDP01194
PRJEB6463	SAMEA2581017	ERX1323980	ERR1252371	75906704	11461912304	HGDP01104
PRJEB6463	SAMEA2581027	ERX1323981	ERR1252372	68822270	10392162770	HGDP01356
PRJEB6463	SAMEA2580909	ERX1323982	ERR1252373	71944248	10863581448	HGDP00776
PRJEB6463	SAMEA2580920	ERX1323983	ERR1252374	70152142	10592973442	HGDP00811
PRJEB6463	SAMEA2580928	ERX1323984	ERR1252375	66443594	10032982694	HGDP00820
PRJEB6463	SAMEA2580936	ERX1323985	ERR1252376	64572532	9750452332	HGDP00976
PRJEB6463	SAMEA2580944	ERX1323986	ERR1252377	68765154	10383538254	HGDP01290
PRJEB6463	SAMEA2580955	ERX1323987	ERR1252378	65895312	9950192112	HGDP01311
PRJEB6463	SAMEA2580968	ERX1323988	ERR1252379	75814002	11447914302	HGDP01326
PRJEB6463	SAMEA2580980	ERX1323989	ERR1252380	106494888	16080728088	HGDP01329
PRJEB6463	SAMEA2580991	ERX1323990	ERR1252381	78057570	11786693070	HGDP01182
PRJEB6463	SAMEA2581004	ERX1323991	ERR1252382	68321748	10316583948	HGDP01195
PRJEB6463	SAMEA2581018	ERX1323992	ERR1252383	67654248	10215791448	HGDP01347
PRJEB6463	SAMEA2581032	ERX1323993	ERR1252384	74458214	11243190314	HGDP01247
PRJEB6463	SAMEA2580809	ERX1361022	ERR1289416	80793918	12199881618	HGDP00460
PRJEB6463	SAMEA2580910	ERX1361023	ERR1289417	71450658	10299685196	HGDP00777
